repo_id,batch,ann_id_a,ann_id_b,start_orig_a,end_orig_a,start_a,end_a,start_orig_b,end_orig_b,start_b,end_b,overlap_chars,text_a,text_b,context_before,context_after
IB522F095,new,b39d58e1c795491688bfffd23f1ff45b,003cf4ac58c94a59b59ff1b35fce9faa,157511,157515,157511,157518,157517,157526,157514,157527,4,དང་པོས་,པོས་མ་ཕོག་པར་,་པར་ངེས་པས་དེས་ན།།  བླ་མ་ལ་བརྙས་པའི་རྩ་བའི་ལྟུང་བ་,བྱས་ལ།།  དགོས་འདོད་འབྱུང་བའི་རིན་ཆེན་དབང་གི་རྒྱལ་པ
IB522F095,new,9097e576f2804dadaa2a9b8a88439b65,b6196022dcf84bc1a843ab1689c433e3,167879,167884,167879,167888,167886,167893,167882,167893,6,དེ་འདྲབས་,འདྲབས་ཀྱང་།,ོ།། རྩ་བ། ཡང་མོས་གུས་བཟང་པོ་བླ་མ་ལོངས་སྐུར་མཐོང་བ་,།  མཐར་ཐུག་ཆོས་སྐུ་མི་འཐོབ་སྟེ།།  ཐུབ་པ་ལོངས་སྤྱོད
IB522F095,new,733d195010ed406897d8dc5305b4140c,056324c7492a4112b4517480a49a3fb6,169790,169806,169790,169810,169809,169810,169804,169810,6,ཚད་དུ་ཕྱིན་ནས་མཆིའོ།,མཆིའོ།,ར་ཆེ།། མོས་གུས་ཀྱི་ཚད་དུ་སྐྱོལ་ལགས་ན།། རྟོགས་པ་ཡང་,། ཞེས་སོ།། གསུམ་པ། བློས་བྱས་ཀྱི་སྟོང་པ་ནི་ཤོ་ལོ་ཀ་
P000021,old,56cbe4905df24648938f0335aaccc712,2b2dbfb75023418eb08536e6ba99e183,190108,190373,190108,190379,190375,190408,190372,190408,7,དཀོན་མཆོག་མི་སྤང་༢དམ་ཚིག་རྣམས་ལ་སྤྱད། ། ༣རྡོ་རྗེ་དྲིལ་བུ་༤གླེགས་བམ་གཙུག་ཏུ་བཅངས། ། ༥སྦྱིན་སྲེག་༥དཀྱིལ་འཁོར་༧རབ་གནས་ལས་ལ་བརྩོན། ། ༨འབྱུང་པོར་གཏོར་མ་སྦྱིན་ཞིང་༩བཟླས་བསྒོམ་འབད། ། ༡༠སློབ་མར་ཆོས་བཤད་༡༡སེམས་ཅན་བྱམས་པས་བསྡུ། ། རྒྱལ་ལ་༡༢ཚོགས་གསོག་༡༣ཛམ་ལར་ཆུ་སྦྱིན་གཏང༌། ། ༡༤མཆོད་,༡༤མཆོད་རྟེན་སཱ་ཙྪ་དགེ་བའི་ལས་བྱའོ། །,་དང་པོ་པའི་བསྒྲུབ་བྱ་བཅུ་བཞིར་གསུངས་ཏེ། སྡོམ་ནི།༡ , ཞེས་སོ། །མངོན་བརྗོད་བླ་མར་རྒྱུན་གྱི་བྱ་བའི་སྤྱོད་
P000021,old,9dfab165680f467a978a302b75370e4b,983455619dbf411b9da120f3618aa310,224156,224702,224153,224706,224704,224705,224700,224706,6,ཚོགས་༡ཞིང་ལ་བཤགས་དྲལ་བའི་སྔགས་༢རྒྱས་སྦྱོང༌། ། ཕྱི་ནང་༣ཆུས་བཀྲུ་གཏུམ་མོས་༤ས་བོན་བསྲེག ། སྐྱེ་༥མེད་དོན་སྒོམ་ཕྱི་ནང་༦དབང་བཞི་ལེན། ། ཚོགས་༧སུ་ཞུ་དང་རྟེན་ལ་སྨྲེ་༨བཤགས་བརྗོད། ། མཎྜལ་༩སོགས་འབུལ་བདེ་གཤེགས་༡༠མཆོད་རྟེན་བཞེངས། ། ༡༡ཞི་བའི་མེས་སྦྱང་མཆོད་༡༢གཏོར་རྒྱ་ཆེན་གཏང༌། ། ལྷ་ཡི་༡༣སྔགས་བཟླ་ཟབ་མོའི་བསམ་གཏན་༡༤བསྒོམ། ། སེམས་ཅན་༡༥སྲོག་སྐྱབས་མདོ་རྒྱུད་༡༦གསུང་རབ་བཀླག ། བླ་མ་༡༧གཙུག་བསྟེན་ཟབ་མོའི་བདག་༡༨འཇུག་བྱ། ། བདེར་༡༩གཤེགས་ཡིག་བརྒྱ་དུས་བཟང་གཟུངས་༢༠སྔགས་བཟླ། ། ལྟུང་༢༡བཤགས་ལན་དྲུག་རྡོར་སེམས་༢༢བསྒོམ་བཟླས་བྱ། ། རྡོ་རྗེ་༢༣གསུམ་ལྡན་བླ་མའི་རྣལ་འབྱོར་དང༌། ། དཔྱིད་༢༤ཐིག་,༢༤ཐིག་,ྱ་བའི་རྣམ་གྲངས་ཉེར་ལྔ་སྙིང་པོ་རྒྱན་ལས་འབྱུང་བ་ནི། ,དང་ནི་ཕྲ་མོའི་༢༥རྣལ་འབྱོར་བསྒོམ། ། ཞེས་སོ། ། སྦྱིན
P000021,old,fa9121343dd9439fa4158e19dc4645ad,d008312213e141f29ed5dc94aa6fee3c,224726,224727,224726,224732,224729,224746,224726,224748,6,འབྱོར་,འབྱོར་བསྒོམ། ། ཞེས་སོ།,་རྣལ་འབྱོར་དང༌། ། དཔྱིད་༢༤ཐིག་དང་ནི་ཕྲ་མོའི་༢༥རྣལ་, ། སྦྱིན་སྲེག་བཟླས་བསྒོམ་ཚོགས་ཀྱི་འཁོར་ལོ་སོགས། ། 
P000117,old,47a02ba73c0841739c5a96d7c1fc7f7b,2ac9139cfdb2462684f8879cf45e5b4b,8918,9076,8918,9079,9078,9226,9074,9228,5,མེད་ལགས་པར་སེམས། ། འོན་ཀྱང་རྒྱལ་སྲས་སྤྱོད་པ་རླབས་ཆེན་རྣམས། ། བློ་དམན་བདག་འདྲས་གཏིང་དཔག་དཀའ་བའི་ཕྱིར། ། འགལ་དང་མ་འབྲེལ་ལ་སོགས་ཉེས་པའི་ཚོགས། ། དམ་པ་རྣམས་ཀྱིས་བཟོད་,བཟོད་པར་མཛད་དུ་གསོལ། ། དེ་ལས་བྱུང་བའི་དགེ་བས་འགྲོ་བ་ཀུན། ། དོན་དམ་ཀུན་རྫོབ་བྱང་ཆུབ་སེམས་མཆོག་གིས། ། སྲིད་དང་ཞི་བའི་མཐའ་ལ་མི་གནས་པའི། ། སྤྱན་རས་གཟིགས་མགོན་,འི་གསུང་ལ་བརྟེན་པའི་ཕྱིར། ། རྒྱལ་སྲས་ལག་ལེན་འཁྲུལ་,དེ་དང་མཚུངས་པར་ཤོག ཅེས་པ་འདི་རང་གཞན་ལ་ཕན་པའི་དོན་ད
P000144,old,f993f7fee11f4cd4a7050fb0f906d4b8,538790f97758487481cb1e0608234a3b,60904,61081,60904,61085,61083,61085,61080,61085,5, གསུམ་པ་༼སོར་རྟོག་ཡེ་ཤེས་༽ལ་གཉིས། དག་བྱ་དག་བྱེད། དག་འབྲས་ཡེ་ཤེས་བཤད་པའོ། །དང་པོ་༼དག་བྱ་དག་བྱེད་༽ནི། དེ་མ་ཐག་པའི་ཡིད་དེ་ནི། ། དྲུག་པོ་འཛིན་པས་འཛིན་པ་སྟེ། ། རྣམ་པར་རྟོག་བྱེད་རྣམ་རྟོག་,རྟོག་,་བཅུ་བཞིར་བཤད་དེ་ཞིབ་པར་གཞུང་གཞན་ལས་ཤེས་པར་བྱའོ། །,ཡིན། ། དེ་ནི་ཡང་དག་ཤེས་རབ་དང༌། ། སྒྱུ་མ་ལྟ་བུའི་ཏི
P000144,old,817722c44f544dafbab5c3e0f2459532,da024dac6fee4406a73faf5593ae68cb,93995,94085,93995,94089,94087,94103,94084,94104,5, སངས་རྒྱས་གོ་འཕང་ཐོབ་པར་འགྱུར། ། ཞེས་གྲོལ་ཚུལ་གསལ་བར་གསུངས་པ་ལྟར་རོ། ། གཉིས་པ་༼ཧེ་བཛྲ་ལས་བྱུང་,བྱུང་བ་༽ནི། སེམས་ཅན་,གྱི་རྟེན་དུ་འདོད། ། རིམ་གྱིས་སྦྱངས་པར་གྱུར་པ་ལས། །,རྣམས་ནི་སངས་རྒྱས་ཉིད། ། འོན་ཀྱང་གློ་བུར་དྲི་མས་སྒྲ
P000195,old,cae2e5952ba540cab5d543aad8d63002,f1de82c609e9424dbf1a3bb953dc467a,93618,93795,93617,93798,93797,93798,93794,93798,4,རྣམས་ཐམས་ཅད་རང་བཞིན་དག་ཅིང་ཡོངས་དག་པར། ། བྱང་ཆུབ་སེམས་དཔའ་ཤེས་རབ་ཕ་རོལ་ཕྱིན་ལྟ་ན། ། བྱེད་པ་པོ་ཡང་མི་དམིགས་ཆོས་ཀུན་མི་དམིགས་ཏེ། ། འདི་ནི་ཤེས་རབ་ཕ་རོལ་ཕྱིན་མཆོག་སྤྱོད་པ་ཡིན། །[༥] ཞེས་,ཞེས་,མེ་བཏང་རྩྭ་དང་ཤིང་དང་ནགས་ཚལ་སྲེག་པ་བཞིན། །[༤] ཆོས་,གསུངས་ཏེ། ཉི་མ་སྒྲ་གཅན་གཟའ་བྲལ་ཞེས་པ་ནས། ཕྱིན་མཆོག
