pecha_id,batch,layer,ann_id,start_orig,end_orig,start,end,start_delta,end_delta,unsnapped_reason,start_is_clean_after,end_is_clean_after,overlap_action,dropped
I0156A8B1,new,Citation.yml,c294903ebeb545798bd6fca3d711c8c8,172,498,172,498,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,d4d6b1000f0f40fda748c0c060d547ba,1551,1609,1551,1609,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,a43ecddb987c4b0d87a0d9feb1038f0c,2262,2513,2262,2513,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,81328fc8f2ab46cdb6bcdb7e74687aef,2537,2590,2537,2590,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,e405a9a64c084d389493f0294aa7d761,5108,6075,5108,6075,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,9da7d1d8c21c48da8c95385f42b53568,6546,6842,6546,6842,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,99c46c7554b3431082e8fab6a2d209d5,17006,17158,17006,17158,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,ca4e0a59219541949be85cf1af3d5f85,18573,18611,18573,18611,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,afbfeb1a8acb43f89a0fac6f96cbf305,19793,20046,19793,20046,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,b7205d5e9adc47f5a3f6343d808bcc9d,24398,24559,24398,24559,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,02ed99cfc61b4f7f806ff0c6e020e3ce,25338,25467,25338,25467,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,b865e36d57114212b7480b23dff3cd02,25480,25538,25480,25538,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,d7ec5eacc28b4af0963d5fcc462e006c,26136,26180,26136,26180,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,b4089b5958ef4a2bb33661827c12c627,26606,26933,26606,26933,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,69839c6494b2454db53a6338c9d7ae16,29154,29750,29154,29750,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,8aba03281c874dd4bf114134afccddc0,33001,33204,33001,33204,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,7f2d1c4dcade4ee4b41dc1fc13f738eb,37402,37628,37402,37628,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,69b936b38e3344188b8c93e542d11139,37852,38002,37852,38002,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,6ac7c8a0bfd448c28da12860778e4005,39306,39390,39306,39390,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,328f59d44ecf499fa7ac95bb03440628,40883,41031,40883,41031,0,0,,True,True,,False
I0156A8B1,new,Citation.yml,e2ee9b9c4e264eb2a291bb2481568946,41394,41581,41394,41581,0,0,,True,True,,False
