# tsawa layer-detection document split v2 — FROZEN
# generated: 2026-09-15
# generator: scratch/build_stratified_split.py (greedy multi-objective)
# seed: 123
# targets: 80/10/10 by WINDOW count (8192 max_length / 5120 stride)
# stratified on: batch (P=old / I=new), n_windows, tsawa char density, pct_short (<30 char spans)
# must-link groups honoured: 11 reprint groups (same normalized title); generic publisher-imprint titles deliberately NOT linked
# pechas: 212  windows: 6728  global density: 4.538%  global pct_short: 31.42%  global old-batch window share: 53.6%
# replaces: coverage_pct-quartile document split (seed 42) whose token positive
#   density was 4.70 / 4.17 / 5.53 (train/val/test) and whose old-batch window
#   share was 60 / 25 / 24 percent
# TEST SPLIT IS FROZEN: these documents must not change between experiments; evaluate test once at the end, never for tuning or model selection.
#
# span source: data/processed/tsawa_spans_resolved.csv (snapped + overlap-resolved)
# consumed by: src/build_tsawa_dataset.py --split-file data/processed/split_v2_frozen.csv
pecha_id,split,group_id
I0156A8B1,train,I0156A8B1
I058DD999,train,I058DD999
I069801F1,train,I069801F1
I07240379,train,I07240379
I0B81CD66,train,I0B81CD66
I0FCFA88F,val,I0FCFA88F
I100E7DAD,train,I100E7DAD
I163178A0,val,I163178A0
I1637B774,train,I1637B774
I19A08A51,train,I19A08A51
I1DCBD5CC,train,I1DCBD5CC
I2133CA39,test,I2133CA39
I23323023,train,I23323023
I25463E37,test,I25463E37
I27E347E9,test,I27E347E9
I2D96E5C8,train,I2D96E5C8
I2EAAF38A,train,I2EAAF38A
I2FCD4B1D,train,I2FCD4B1D
I319DAFF7,train,I319DAFF7
I344D2A4C,val,I344D2A4C
I36A7A668,train,I36A7A668
I3F4A91F5,train,I3F4A91F5
I40E5024E,train,I40E5024E
I454D2699,train,I454D2699
I4B1806B4,test,I4B1806B4
I4CAE7B8B,train,I4CAE7B8B
I4FABF1F8,train,I4FABF1F8
I4FD99A33,train,I4FD99A33
I4FDF07E7,train,I4FDF07E7
I5048861E,val,I5048861E
I5134B437,train,I5134B437
I51B9FE5F,train,I51B9FE5F
I52248444,train,I52248444
I575514A8,train,I575514A8
I587B7DED,train,I587B7DED
I5BFCBB3F,test,I5BFCBB3F
I5F5D9F5A,train,I5F5D9F5A
I60D0ED54,val,I60D0ED54
I617FDD1E,train,I617FDD1E
I62D7430C,train,I62D7430C
I6380CEC4,train,I4FD99A33
I6D11E414,val,I6D11E414
I6EFF9668,train,I6EFF9668
I6F43CD1F,train,I6F43CD1F
I74772DFF,val,I74772DFF
I786395B4,train,I786395B4
I7D476A8B,train,I36A7A668
I8062BDF5,train,I8062BDF5
I849C345E,train,I849C345E
I85485484,train,I85485484
I85C28EDA,train,I85C28EDA
I8698A1DF,test,I4B1806B4
I881A57E8,train,I881A57E8
I88977D82,val,I88977D82
I88CF073C,train,I88CF073C
I88DA3111,train,I88DA3111
I895C519A,test,I895C519A
I8961718B,train,I4FABF1F8
I8994AAB2,train,I8994AAB2
I8A57AE06,test,I8A57AE06
I8B49E87B,train,I4FD99A33
I91949F99,train,I91949F99
I920AA7AC,train,I920AA7AC
I9779A606,train,I9779A606
I9779E60E,train,I9779E60E
I97B90DC0,train,I97B90DC0
I9811592F,test,I9811592F
I98D03292,train,I98D03292
I9AEEF96A,train,I9AEEF96A
I9B6A4525,train,I9B6A4525
I9CB71958,test,I9CB71958
I9D9C7AC9,train,I9D9C7AC9
I9FF2B59B,train,I9FF2B59B
IA2F1ACFA,val,IA2F1ACFA
IA3DD1ADA,test,IA3DD1ADA
IA473D353,train,IA473D353
IAA85B9B5,test,IAA85B9B5
IAE1E11E5,train,IAE1E11E5
IB047F8C7,train,IB047F8C7
IB45DE768,test,IB45DE768
IB47565DE,train,IB47565DE
IB522F095,train,IB522F095
IB5F523B2,test,IB5F523B2
IB8D599AA,train,IB8D599AA
IB8EEB9FB,train,IB8EEB9FB
IB8F4E5BE,train,IB8F4E5BE
IBBB26EA1,val,IBBB26EA1
IBC775AF6,train,IBC775AF6
IBF8C5BB6,train,IBF8C5BB6
IBFACCCDF,train,IBFACCCDF
IC05A6BE0,train,IC05A6BE0
IC3A7006F,train,IC3A7006F
IC555D0EB,train,IC555D0EB
IC5CE7FE9,train,IC5CE7FE9
IC6F06BCD,test,IC6F06BCD
IC87920B7,train,IC87920B7
IC99C24DC,test,IC99C24DC
ICC9840B6,train,ICC9840B6
ICDC84458,val,ICDC84458
