pecha_id,batch,ann_id,start_orig,end_orig,start,end,start_delta,end_delta,start_snapped,end_snapped,unsnapped_reason,start_is_clean_after,end_is_clean_after,dropped,resolve_notes
I0156A8B1,new,949659f9988e4135b65ce2d3bbef0874,1232,1295,1232,1295,0,0,False,False,,True,True,False,
I058DD999,new,03203b7b39bb4641a1f160f1c627ee83,26541,26763,26541,26764,0,1,False,True,,True,True,False,
I058DD999,new,cf67a29ddd2745808d25aab11495f1cb,28281,28505,28281,28506,0,1,False,True,,True,True,False,
I058DD999,new,0e944b9bb43f41d789c6d9f90acc9a73,30206,30442,30206,30443,0,1,False,True,,True,True,False,
I058DD999,new,5a7cd588bff34fbea86f278e4f809e77,31764,31980,31764,31981,0,1,False,True,,True,True,False,
I058DD999,new,fc973d147a1041cb9316aa96fbdd68d3,33217,33439,33217,33440,0,1,False,True,,True,True,False,
I058DD999,new,dad040bed7b247dead3da77558434d54,35169,35391,35169,35392,0,1,False,True,,True,True,False,
I058DD999,new,6f8c71b88de74fc3af920e1b1fe15fdd,37545,37581,37545,37581,0,0,False,False,,True,True,False,
I058DD999,new,50212a84e51a433a9c120aa37dd710d5,37736,37831,37736,37831,0,0,False,False,,True,True,False,
I058DD999,new,c5cea96e501743749fad557f2f78c0f4,37862,37922,37862,37922,0,0,False,False,,True,True,False,
I058DD999,new,d9858305e00248ab9b7d26168a34cf03,38309,38424,38309,38424,0,0,False,False,,True,True,False,
I058DD999,new,67255eb7f9a9419984a1877180324c2c,38896,38959,38896,38959,0,0,False,False,,True,True,False,
I058DD999,new,8c53201259704ade9f409d9655372cf0,39596,39636,39596,39636,0,0,False,False,,True,True,False,
I058DD999,new,863cdd305a674ccd9aa15b82545403f1,39837,39944,39837,39944,0,0,False,False,,True,True,False,
I058DD999,new,7c11d76d2e654580b2db89c11d252cf1,40160,40268,40160,40268,0,0,False,False,,True,True,False,
I058DD999,new,8678a7658a1c4a869e64a1843cc577ed,40326,40418,40326,40418,0,0,False,False,,True,True,False,
I058DD999,new,b6b2ab1b83e44ea097d3ea36bc289ee9,41102,41182,41102,41182,0,0,False,False,,True,True,False,
I058DD999,new,a1317482a4344234a6f2f4d13c75ff9e,41322,41364,41322,41364,0,0,False,False,,True,True,False,
I058DD999,new,158e09b176d54d30995a50a41d9b7df6,41753,41895,41753,41895,0,0,False,False,,True,True,False,
I058DD999,new,b4f02ab9dd7147ed93a21adfb4b8c5a1,42114,42153,42114,42154,0,1,False,True,,True,True,False,
I058DD999,new,b47b64c51a644b4092880505c8f4ef1e,42372,42500,42372,42500,0,0,False,False,,True,True,False,
I058DD999,new,323d495bbf034b81bb008b0fd2aa6bae,42515,42630,42515,42630,0,0,False,False,,True,True,False,
I058DD999,new,f617e9541f1946d0ac768fcdd285d845,42948,42989,42948,42990,0,1,False,True,,True,True,False,
I058DD999,new,ba5ddb5a0e504fb98102d97b0a302232,43223,43302,43223,43303,0,1,False,True,,True,True,False,
I058DD999,new,7fc207da396e4f179f56217084a27fbe,43315,43429,43315,43429,0,0,False,False,,True,True,False,
I058DD999,new,529db5c5802f4e18bdf4fab409900f76,43810,43847,43810,43847,0,0,False,False,,True,True,False,
I058DD999,new,3a0d2536edaf43f0a15cb33c3ec9d45e,44323,44397,44323,44397,0,0,False,False,,True,True,False,
I058DD999,new,b13993c8de3a463893046df728616718,44420,44525,44420,44525,0,0,False,False,,True,True,False,
I058DD999,new,c254b00527184e38bfec4f454c574661,44608,44652,44608,44652,0,0,False,False,,True,True,False,
I058DD999,new,ebe3d7b7bcf841d5a904595ef6efaf8d,44754,44820,44754,44821,0,1,False,True,,True,True,False,
I058DD999,new,f746505681b746e18a2c8f13af61b7e5,44832,45019,44832,45019,0,0,False,False,,True,True,False,
I058DD999,new,e7b7afad163940c3af5a25ea8cc7bc6a,45606,45753,45606,45753,0,0,False,False,,True,True,False,
I058DD999,new,8023bdeda7174bf7b90bc8a7a31f85b2,46562,46628,46562,46628,0,0,False,False,,True,True,False,
I058DD999,new,90b044a1dcd8489e8a02100b4f6fe507,46640,46766,46640,46766,0,0,False,False,,True,True,False,
I058DD999,new,b1cf1ccb436247daa9f46c8d853961d3,47171,47328,47171,47328,0,0,False,False,,True,True,False,
I058DD999,new,689785cac5d645d6b69e06e0f2be9e14,47346,47478,47346,47478,0,0,False,False,,True,True,False,
I058DD999,new,5d5c4e06ad3645ff91a9d3258c3ae49b,47849,47997,47849,47997,0,0,False,False,,True,True,False,
I058DD999,new,749f15792285455ea45118db57dff806,48038,48174,48038,48174,0,0,False,False,,True,True,False,
I058DD999,new,85117a7515e04d01aeed52147d290125,48626,48758,48626,48759,0,1,False,True,,True,True,False,
I058DD999,new,ac266d7bae6c478bbeff7982a2964200,49655,49861,49655,49862,0,1,False,True,,True,True,False,
I058DD999,new,808af9b0786943d6892b30fb7b9dcb4b,50363,50443,50363,50443,0,0,False,False,,True,True,False,
I058DD999,new,a5cf6b73a0a04bb68fd765a137a2fa56,50455,50515,50455,50515,0,0,False,False,,True,True,False,
I058DD999,new,41a06edcafac4789acd06805866324c7,50527,50691,50527,50692,0,1,False,True,,True,True,False,
I058DD999,new,8311caf637fa4195b9845af509afb531,51563,51783,51563,51783,0,0,False,False,,True,True,False,
