pecha_id,source_batch,clone_status,org,dest
I88CF073C,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I88CF073C.opf
I8961718B,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I8961718B.opf
I7D476A8B,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I7D476A8B.opf
I4FABF1F8,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4FABF1F8.opf
I2B02A144,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2B02A144.opf
I0B81CD66,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0B81CD66.opf
IF7A04537,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/IF7A04537.opf
I07240379,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07240379.opf
I29E8AA65,new,already_present,,/Users/tenzinyonten/layer_detection/data/raw_opf/I29E8AA65.opf
I88977D82,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I88977D82.opf
IEE67309C,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEE67309C.opf
I9FF2B59B,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I9FF2B59B.opf
I52248444,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I52248444.opf
I4FD99A33,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I4FD99A33.opf
IC6F06BCD,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IC6F06BCD.opf
IEEC9CCA9,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEEC9CCA9.opf
I55D7A55C,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I55D7A55C.opf
IC05A6BE0,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IC05A6BE0.opf
I82AB29CD,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I82AB29CD.opf
I27F687A4,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/I27F687A4.opf
IFFA911F5,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFFA911F5.opf
IFF541F44,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFF541F44.opf
IFF05DE5E,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFF05DE5E.opf
IFE0B60AA,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFE0B60AA.opf
IFC5AD8FD,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFC5AD8FD.opf
IFAAADEA1,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFAAADEA1.opf
IFA88A536,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IFA88A536.opf
IF85C9484,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF85C9484.opf
IF84B2E71,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF84B2E71.opf
IF6B54962,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF6B54962.opf
IF69FF8A7,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF69FF8A7.opf
IF5AAE849,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF5AAE849.opf
IF4F5D041,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF4F5D041.opf
IF4C4BF01,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF4C4BF01.opf
IF428CDDB,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF428CDDB.opf
IF3ACC3E1,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF3ACC3E1.opf
IF30A1358,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IF30A1358.opf
IEFE24A29,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEFE24A29.opf
IEF3A4022,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEF3A4022.opf
IEEBAD11E,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEEBAD11E.opf
IEEB908B0,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEEB908B0.opf
IEDFED305,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEDFED305.opf
IEB5D4BEB,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEB5D4BEB.opf
IEAAE08E1,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEAAE08E1.opf
IEA9B747E,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IEA9B747E.opf
IE9C4806D,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE9C4806D.opf
IE999E494,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE999E494.opf
IE8EB4CB4,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE8EB4CB4.opf
IE8D2B7C5,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE8D2B7C5.opf
IE79CC998,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE79CC998.opf
IE5895799,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE5895799.opf
IE3ACE254,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE3ACE254.opf
IE2421BEA,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE2421BEA.opf
IE1ECB287,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE1ECB287.opf
IE1B4BBB9,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE1B4BBB9.opf
IE166DA22,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE166DA22.opf
IE0AB7438,new,cloned,OpenPecha-Data,/Users/tenzinyonten/layer_detection/data/raw_opf/IE0AB7438.opf
